Category,Sequence,Freq_gastric,Freq_non_gastric,p_value
2-event,K21-K22,290,416,3.749415636788025e-54
2-event,E66-E11,237,212,2.984722854618281e-78
2-event,K21-K31,226,478,1.2423555793749454e-20
2-event,E11-E87,215,1166,0.005822898456872291
2-event,D64-E87,200,1080,0.009370105345343802
2-event,K29-K31,199,347,3.2097515822102368e-27
2-event,I25-E11,195,256,1.0208648074073801e-41
2-event,D64-K31,174,487,2.2588029479372354e-07
2-event,N18-E11,164,296,2.947323939762319e-21
2-event,I25-I50,162,1017,3.080073610140871e-05
2-event,D64-K29,140,470,0.004898449209418792
2-event,N18-E87,127,932,6.046477111470522e-08
2-event,I51-I50,126,804,0.00012344397443024132
2-event,F17-J98,123,846,4.01152842807418e-06
2-event,D50-K31,115,332,9.363172496818309e-05
2-event,I50-N18,114,778,1.3524085998107716e-05
2-event,I48-E11,109,241,1.3937309699380565e-09
2-event,K44-K22,107,103,1.7406623875918397e-33
2-event,K20-K22,106,135,3.63998754852996e-24
2-event,I50-E87,104,960,2.758679356317461e-13
2-event,N17-D64,104,817,2.2272322583157682e-08
2-event,I48-N18,103,594,0.013594597484921454
2-event,I51-D50,101,624,0.0018776770559038268
2-event,J44-F17,96,254,2.0263136153594247e-05
2-event,I50-I48,96,563,0.011217652459146384
2-event,J18-J98,92,1148,9.033692324873482e-24
2-event,K31-K22,90,148,2.5236899752807893e-14
2-event,K92-K31,87,277,0.009013542447446371
2-event,K22-J98,86,257,0.0019940066629225285
2-event,I50-J98,86,1190,2.4988059856956812e-27
2-event,I48-E87,81,740,2.436357674848524e-10
2-event,J44-J18,79,666,3.7379128058986184e-08
2-event,I49-I50,79,626,7.972225988457337e-07
2-event,N17-I50,78,511,0.0012728191014658363
2-event,K25-K29,78,115,7.544570432617973e-15
3-event,E66-E11-E87,75,73,1.4926677006179712e-23
2-event,D72-J98,73,608,2.2530921699318934e-07
2-event,L97-E11,72,52,2.132370686531596e-29
2-event,N17-D50,70,584,3.7458313422879625e-07
2-event,K31-K29,70,153,9.83812251999297e-07
3-event,D64-K29-K31,70,161,5.145379118963859e-06
2-event,I44-I49,69,490,0.00022847639134078795
2-event,I45-I49,67,493,8.832390400477704e-05
2-event,I27-I51,66,497,4.513247553483797e-05
2-event,J96-I50,66,515,1.227612621729005e-05
2-event,I50-K92,65,515,8.04826926503939e-06
2-event,A41-J18,64,813,1.628213917449371e-17
2-event,D72-K59,63,408,0.005222642234754634
2-event,I12-D63,61,498,5.117962661519638e-06
2-event,N28-N17,61,396,0.005700221936417063
