,variable,p_value,coef
0,K21-K22,0.004067237970765864,0.23484799691499342
1,E66-E11,1.3093223539983342e-14,0.7640290913722599
3,E11-E87,1.6415340195370238e-64,-1.3571359609631073
4,D64-E87,2.964242561959766e-57,-1.3114020364332697
6,I25-E11,0.009699233916896526,0.2586131409523549
7,D64-K31,6.943518306293634e-08,-0.5006095091933801
9,I25-I50,5.460774661541108e-70,-1.6134689427543767
10,D64-K29,2.0635579889524404e-11,-0.6733716657550354
11,N18-E87,1.4929919451063387e-62,-1.6663716708757925
12,I51-I50,7.854247915306146e-48,-1.4566484860866198
13,F17-J98,3.1710050187968276e-54,-1.5675005697549993
14,D50-K31,8.57374409391346e-06,-0.4987166686191868
15,I50-N18,3.980594046094301e-49,-1.5514681838971096
16,I48-E11,0.012276172634922177,-0.30133985584577233
17,K44-K22,5.838508649384209e-06,0.6425069824814194
18,K20-K22,0.011370151667610094,0.3379311279566466
19,I50-E87,5.84214112947626e-71,-1.92480735039659
20,N17-D64,4.700072926261796e-54,-1.6713556195558537
21,I48-N18,3.5192525665686915e-35,-1.393255036424824
22,I51-D50,5.955957080800364e-36,-1.391668762650714
23,J44-F17,0.0005831040231678087,-0.42474695335034796
24,I50-I48,3.673701828324182e-31,-1.3314633857693503
25,J18-J98,2.716993371186349e-88,-2.2322106171770675
27,K92-K31,5.477841513320976e-07,-0.6332857489100264
28,K22-J98,1.0546574770945515e-05,-0.5643087889985066
29,I50-J98,1.4375780767365576e-95,-2.4061264772439115
30,I48-E87,1.4552950128505192e-55,-1.9196156752085103
31,J44-J18,9.931907862703006e-45,-1.7221806486014168
32,I49-I50,7.738099460385968e-42,-1.672086890744824
33,N17-I50,4.121201830521876e-29,-1.3987029351484015
35,E66-E11-E87,4.6648178096014076e-05,0.6847925650021971
36,D72-J98,1.0958674201001367e-38,-1.6537195499594828
37,L97-E11,2.4031016638204566e-06,0.8748955969995523
38,N17-D50,1.8242412720638993e-38,-1.682145106341291
41,I44-I49,4.799786547675109e-32,-1.561087522829642
42,I45-I49,3.457791106466457e-32,-1.5770900212493213
43,I27-I51,2.380055487409174e-30,-1.5386914978707866
44,J96-I50,5.532566868112404e-32,-1.5749590883370557
45,I50-K92,1.5850392984189818e-33,-1.6299379637390545
46,A41-J18,2.06139172198756e-61,-2.2007500795304678
47,D72-K59,2.0817126240288854e-22,-1.3486561916959612
48,I12-D63,3.353671836876321e-33,-1.6697279215696408
49,N28-N17,1.1260411261511652e-23,-1.41424667799745
50,I35-I49,1.1256786013051145e-28,-1.558561265542063
52,J44-D72,1.4231774657278244e-24,-1.4454481769486178
54,I25-I50-E87,7.22160422480174e-25,-1.5141491427285008
55,D72-J18,1.1196886513554843e-36,-1.8273041811126252
56,I35-I48,1.0487185874001102e-18,-1.3422631485628898
57,J90-I25,4.1179456093532526e-51,-2.187529127923253
60,I25-I50-J98,4.064700951268353e-34,-1.8403415485817964
61,D50-K25,0.041778561520302265,-0.34720826280689493
62,J96-I25,1.7035692823962787e-27,-1.6560933005491
63,I47-I49,2.907170614971123e-18,-1.3648541012804887
64,D64-N18-E87,0.0005110156313407555,-0.5885631949269933
66,J96-J18,8.19598773110237e-54,-2.366468933598442
67,D63-D50,6.924451319919559e-24,-1.587527267537634
68,D50-K29-K31,0.02437244633569371,-0.40100998680031863
69,D64-N18-E11,0.0022945504923271437,0.6652036704380159
70,J90-I48,4.900672877353479e-48,-2.286683069293839
73,A41-J90,1.2809156825502124e-68,-2.777763966248298
74,I12-I73,5.07515828306089e-16,-1.356481741160713
75,L03-L97-E11,3.3983210869363545e-06,1.2574566205265538
76,J96-J44,4.972646450158759e-25,-1.7101032025623644
77,J90-D72,1.0706070339026661e-70,-2.9117412063354973
78,J96-D72,2.9345070890195594e-48,-2.4141306385121584
79,I21-I51,1.982004832357259e-23,-1.6938042617211577
80,I50-N18-E87,1.02925212779137e-14,-1.343501761005134
81,I27-I35,9.466968185469068e-20,-1.5740894873157103
83,J96-E66,1.97602010555652e-16,-1.4287973724175078
84,J43-J96,7.55870110618119e-24,-1.7471672339310063
86,E83-J96,3.6098905042156804e-41,-2.281041074724834
88,I51-I50-J98,8.818339455921617e-15,-1.3882154502269806
90,D50-K92-K31,0.019892768853794818,-0.45798645687750084
91,K63-C18,7.044825743154142e-05,1.0383760260282506
95,I48-E11-E87,0.005054438704440398,-0.5678643661789399
96,I95-D72,9.502081576151222e-31,-2.107708330895293
99,L97-E11-E87,1.5106873503918546e-05,1.4454005830799805
101,I51-I50-K22,0.044199516871416954,-0.43321993307031
102,I27-J96,2.143571699122867e-37,-2.427557316036151
104,I48-N18-E87,5.222895534143985e-14,-1.496273354276668
105,I73-L97-E11,2.6072800113872364e-05,1.4517447740521587
108,I25-I50-N18-E11,0.014502874905340567,0.6831486938226586
109,L02-L97,0.04559127706509725,-0.4422598340955545
111,B35-L97-E11,0.00014449715664933326,1.2894236985816132
113,I49-I50-J98,1.860972521283061e-15,-1.6408968723354986
114,J44-J18-J98,1.5540672472073836e-14,-1.585357326814334
115,J96-I50-E87,0.049512447566118396,-0.45619132176469235
116,K44-K22-J98,0.006548342969846359,0.8081529180746351
118,A41-J18-J98,7.456702918931022e-21,-1.9728123170227219
119,I42-J96,9.972627948611903e-27,-2.2783017794501825
122,K56-C18,0.00011545953131917294,1.3877499054155362
125,L97-I48-E11,6.581096565554337e-05,1.8428937631280105
126,G62-I48-E11,0.006672747353515184,0.9103574365746955
127,I87-L97-E11,0.00035383913789266744,1.3241195741257423
128,N17-D64-K92,1.0074090821839126e-11,-1.5245772222855039
130,L02-L97-E11,2.4318279004638708e-05,2.6107357615276805
134,I25-I50-I48-E11,0.0041911481848794,1.0466195903264408
135,I44-I25-E11,0.006133073836371677,0.9772435796012718
138,D72-J18-J98,5.575150717467631e-10,-1.4892065128184047
141,L03-L97-E11-E87,7.298974352400425e-05,2.186386501152785
